iter	Passed	Remaining
203	4331	16902
204	4351	16875
205	4371	16848
206	4390	16821
207	4410	16794
208	4430	16766
209	4451	16745
210	4473	16729
211	4494	16704
212	4514	16678
213	4534	16653
214	4554	16630
215	4575	16607
216	4595	16582
217	4616	16558
218	4636	16535
219	4659	16519
220	4679	16494
221	4700	16472
222	4719	16445
223	4739	16418
224	4758	16391
225	4778	16366
226	4798	16339
227	4817	16312
228	4839	16292
229	4859	16267
230	4878	16241
231	4898	16215
232	4917	16188
233	4937	16162
234	4957	16137
235	4977	16112
236	4997	16088
237	5021	16077
238	5041	16053
239	5061	16028
240	5081	16002
241	5100	15976
242	5120	15950
243	5139	15925
244	5159	15899
245	5181	15880
246	5211	15888
247	5233	15869
248	5255	15849
249	5276	15829
250	5314	15859
251	5337	15842
252	5403	15954
253	5425	15933
254	5445	15908
255	5464	15881
256	5484	15855
257	5503	15828
258	5523	15801
259	5542	15775
260	5562	15750
261	5582	15723
262	5601	15697
263	5622	15675
264	5642	15650
265	5662	15625
266	5682	15601
267	5702	15576
268	5722	15550
269	5741	15524
270	5761	15499
271	5781	15475
272	5803	15455
273	5823	15430
274	5843	15406
275	5863	15380
276	5882	15355
277	5902	15329
278	5922	15304
279	5942	15279
280	5961	15254
281	5983	15233
282	6006	15217
283	6027	15196
284	6048	15173
285	6069	15153
286	6091	15133
287	6113	15112
288	6134	15091
289	6160	15081
290	6195	15095
291	6218	15078
292	6244	15067
293	6265	15045
294	6286	15023
295	6306	14998
296	6325	14972
297	6345	14948
298	6369	14932
299	6391	14913
300	6413	14892
301	6435	14874
302	6457	14853
303	6479	14834
304	6500	14812
305	6520	14789
306	6543	14770
307	6568	14758
308	6590	14737
309	6612	14717
310	6634	14698
311	6656	14678
312	6678	14658
313	6699	14636
314	6720	14614
315	6744	14598
316	6766	14578
317	6786	14555
318	6808	14533
319	6830	14513
320	6850	14491
321	6871	14469
322	6893	14447
323	6913	14423
324	6936	14406
325	6957	14384
326	6978	14363
327	7000	14343
328	7022	14322
329	7042	14298
330	7062	14274
331	7082	14250
332	7102	14226
333	7126	14209
334	7149	14192
335	7171	14173
336	7194	14153
337	7214	14131
338	7236	14109
339	7257	14087
340	7277	14064
341	7298	14042
342	7323	14027
343	7343	14003
344	7363	13979
345	7383	13955
346	7402	13930
347	7422	13905
348	7441	13881
349	7461	13856
350	7480	13832
351	7502	13812
352	7523	13788
353	7543	13765
354	7563	13742
355	7583	13718
356	7603	13695
357	7623	13671
358	7643	13647
359	7663	13623
360	7684	13601
361	7704	13577
362	7723	13554
363	7743	13529
364	7763	13505
365	7782	13481
366	7802	13457
367	7821	13432
368	7841	13409
369	7861	13385
370	7882	13364
371	7902	13341
372	7922	13317
373	7943	13295
374	7971	13285
375	7992	13263
376	8013	13242
377	8036	13224
378	8058	13204
379	8082	13187
380	8106	13170
381	8138	13166
382	8169	13161
383	8199	13152
384	8221	13132
385	8243	13113
386	8266	13094
387	8287	13071
388	8307	13048
389	8327	13024
390	8346	13000
391	8366	12977
392	8386	12953
393	8407	12931
394	8430	12912
395	8456	12898
396	8480	12880
397	8502	12860
398	8525	12841
399	8547	12821
400	8569	12801
401	8592	12782
402	8614	12761
403	8639	12744
404	8659	12721
405	8678	12697
406	8698	12673
407	8721	12654
408	8742	12633
409	8762	12609
410	8782	12585
411	8806	12569
412	8828	12547
413	8851	12528
414	8871	12505
415	8890	12481
416	8910	12457
417	8930	12434
418	8951	12412
419	8971	12389
420	8992	12366
421	9012	12344
422	9034	12323
423	9056	12303
424	9076	12280
425	9100	12261
426	9125	12245
427	9146	12223
428	9168	12203
429	9188	12179
430	9207	12156
431	9233	12140
432	9254	12118
433	9274	12094
434	9293	12071
435	9316	12052
436	9338	12030
437	9359	12009
438	9381	11988
439	9402	11966
440	9428	11951
441	9451	11931
442	9473	11910
443	9494	11889
444	9515	11867
445	9535	11844
446	9555	11821
447	9574	11797
448	9596	11776
449	9619	11756
450	9639	11734
451	9659	11710
452	9681	11690
453	9703	11669
454	9723	11646
455	9743	11623
456	9762	11599
457	9782	11576
458	9804	11556
459	9824	11533
460	9844	11510
461	9866	11489
462	9886	11467
463	9906	11444
464	9927	11422
465	9948	11399
466	9968	11377
467	9990	11356
468	10010	11333
469	10030	11310
470	10052	11290
471	10074	11269
472	10099	11252
473	10121	11232
474	10143	11210
475	10169	11195
476	10190	11173
477	10213	11153
478	10233	11131
479	10253	11108
480	10275	11086
481	10295	11064
482	10315	11041
483	10334	11018
484	10357	10997
485	10382	10980
486	10402	10958
487	10422	10934
488	10441	10911
489	10464	10891
490	10487	10871
491	10506	10848
492	10526	10825
493	10546	10802
494	10567	10780
495	10588	10759
496	10608	10736
497	10628	10713
498	10648	10691
499	10668	10668
500	10691	10648
501	10710	10625
502	10730	10602
503	10750	10579
504	10772	10558
505	10797	10541
506	10818	10519
507	10838	10497
508	10858	10474
509	10878	10451
510	10897	10428
511	10917	10405
512	10937	10383
513	10957	10360
514	10980	10341
515	11001	10319
516	11021	10296
517	11041	10273
518	11062	10252
519	11091	10238
520	11117	10221
521	11139	10200
522	11163	10181
523	11183	10158
524	11203	10136
525	11223	10113
526	11242	10090
527	11261	10067
528	11281	10044
529	11304	10024
530	11325	10003
531	11348	9983
532	11368	9961
533	11392	9941
534	11414	9921
535	11435	9899
536	11454	9876
537	11474	9853
538	11494	9830
539	11514	9808
540	11535	9786
541	11555	9764
542	11574	9741
543	11594	9718
544	11614	9696
545	11636	9675
546	11656	9653
547	11676	9631
548	11696	9608
549	11717	9587
550	11737	9564
551	11762	9546
552	11784	9525
553	11804	9503
554	11825	9481
555	11845	9459
556	11864	9436
557	11884	9413
558	11911	9397
559	11931	9374
560	11951	9352
561	11971	9329
562	11990	9307
563	12010	9284
564	12029	9261
565	12050	9240
566	12072	9219
567	12099	9202
568	12121	9181
569	12141	9159
570	12162	9138
571	12185	9117
572	12206	9095
573	12226	9074
574	12246	9051
575	12270	9032
576	12291	9010
577	12311	8988
578	12331	8966
579	12350	8943
580	12372	8922
581	12396	8903
582	12416	8881
583	12436	8858
584	12458	8837
585	12478	8815
586	12498	8793
587	12517	8770
588	12536	8748
589	12556	8725
590	12576	8703
591	12595	8680
592	12616	8658
593	12636	8637
594	12658	8616
595	12678	8594
596	12698	8571
597	12717	8549
598	12737	8527
599	12757	8504
600	12776	8482
601	12795	8459
602	12816	8438
603	12840	8418
604	12860	8396
605	12879	8373
606	12899	8352
607	12919	8329
608	12939	8307
609	12959	8285
610	12979	8263
611	13001	8242
612	13032	8227
613	13059	8210
614	13082	8190
615	13103	8168
616	13124	8146
617	13143	8124
618	13164	8102
619	13195	8087
620	13219	8067
621	13242	8047
622	13264	8026
623	13284	8005
624	13305	7983
625	13325	7961
626	13346	7939
627	13366	7917
628	13389	7897
629	13409	7875
630	13429	7853
631	13449	7831
632	13469	7809
633	13489	7787
634	13509	7765
635	13530	7743
636	13550	7721
637	13570	7699
638	13594	7680
639	13614	7658
640	13636	7637
641	13657	7615
642	13678	7594
643	13699	7573
644	13720	7551
645	13740	7529
646	13760	7507
647	13783	7487
648	13803	7465
649	13824	7443
650	13865	7433
651	13887	7412
652	13910	7392
653	13933	7371
654	13954	7349
655	13974	7328
656	13997	7307
657	14020	7287
658	14043	7266
659	14065	7245
660	14086	7224
661	14106	7202
662	14131	7182
663	14154	7162
664	14177	7141
665	14202	7122
666	14224	7101
667	14249	7081
668	14270	7060
669	14293	7039
670	14314	7018
671	14336	6997
672	14358	6976
673	14378	6954
674	14398	6932
675	14421	6911
676	14444	6891
677	14466	6870
678	14490	6850
679	14516	6831
680	14539	6810
681	14563	6790
682	14587	6770
683	14610	6749
684	14631	6728
685	14656	6708
686	14678	6687
687	14701	6666
688	14721	6644
689	14741	6622
690	14760	6600
691	14780	6578
692	14799	6556
693	14819	6534
694	14839	6512
695	14859	6490
696	14883	6470
697	14903	6448
698	14922	6425
699	14942	6403
700	14962	6381
701	14984	6360
702	15006	6339
703	15031	6320
704	15054	6299
705	15079	6279
706	15099	6257
707	15119	6235
708	15139	6213
709	15159	6192
710	15181	6170
711	15202	6149
712	15225	6128
713	15247	6107
714	15270	6086
715	15292	6065
716	15313	6044
717	15333	6022
718	15357	6002
719	15379	5980
720	15399	5959
721	15421	5937
722	15445	5917
723	15465	5895
724	15485	5873
725	15504	5851
726	15523	5829
727	15544	5807
728	15564	5786
729	15588	5765
730	15608	5743
731	15631	5722
732	15653	5701
733	15673	5680
734	15695	5659
735	15718	5637
736	15738	5616
737	15759	5594
738	15779	5573
739	15799	5551
740	15823	5530
741	15845	5509
742	15866	5488
743	15886	5466
744	15907	5444
745	15929	5423
746	15951	5402
747	15976	5382
748	16010	5365
749	16031	5343
750	16052	5322
751	16074	5301
752	16096	5279
753	16117	5258
754	16138	5237
755	16160	5215
756	16183	5194
757	16205	5173
758	16226	5152
759	16247	5130
760	16270	5109
761	16292	5088
762	16313	5067
763	16335	5046
764	16357	5024
765	16378	5003
766	16400	4982
767	16422	4960
768	16443	4939
769	16463	4917
770	16484	4896
771	16506	4874
772	16526	4853
773	16550	4832
774	16571	4811
775	16594	4790
776	16617	4769
777	16638	4747
778	16661	4726
779	16681	4705
780	16702	4683
781	16722	4661
782	16747	4641
783	16771	4620
784	16796	4600
785	16821	4579
786	16846	4559
787	16871	4538
788	16898	4519
789	16919	4497
790	16949	4478
791	16988	4461
792	17024	4444
793	17047	4423
794	17071	4402
795	17096	4381
796	17119	4360
797	17143	4339
798	17163	4317
799	17184	4296
800	17208	4275
801	17230	4253
802	17251	4232
803	17276	4211
804	17303	4191
805	17327	4170
806	17351	4149
807	17372	4128
808	17392	4106
809	17414	4084
810	17436	4063
811	17457	4041
812	17480	4020
813	17505	4000
814	17529	3979
815	17553	3958
816	17577	3937
817	17598	3915
818	17619	3893
819	17639	3872
820	17661	3850
821	17684	3829
822	17706	3808
823	17730	3787
824	17752	3765
825	17775	3744
826	17798	3723
827	17821	3702
828	17842	3680
829	17865	3659
830	17885	3637
831	17908	3616
832	17934	3595
833	17964	3575
834	17990	3555
835	18013	3533
836	18039	3513
837	18068	3492
838	18092	3471
839	18113	3450
840	18136	3428
841	18157	3407
842	18178	3385
843	18203	3364
844	18226	3343
845	18252	3322
846	18281	3302
847	18306	3281
848	18330	3260
849	18354	3238
850	18377	3217
851	18400	3196
852	18421	3174
853	18446	3153
854	18469	3132
855	18494	3111
856	18518	3089
857	18539	3068
858	18562	3046
859	18585	3025
860	18607	3003
861	18629	2982
862	18650	2960
863	18672	2939
864	18693	2917
865	18713	2895
866	18735	2874
867	18762	2853
868	18782	2831
869	18804	2809
870	18827	2788
871	18848	2766
872	18871	2745
873	18898	2724
874	18921	2703
875	18950	2682
876	18971	2660
877	18993	2639
878	19016	2617
879	19041	2596
880	19066	2575
881	19093	2554
882	19121	2533
883	19145	2512
884	19170	2491
885	19192	2469
886	19216	2448
887	19240	2426
888	19267	2405
889	19289	2384
890	19315	2362
891	19337	2341
892	19359	2319
893	19379	2297
894	19403	2276
895	19424	2254
896	19444	2232
897	19464	2210
898	19484	2188
899	19506	2167
900	19529	2145
901	19550	2124
902	19573	2102
903	19598	2081
904	19620	2059
905	19642	2037
906	19663	2016
907	19684	1994
908	19705	1972
909	19725	1950
910	19745	1928
911	19766	1907
912	19788	1885
913	19811	1864
914	19833	1842
915	19854	1820
916	19882	1799
917	19911	1778
918	19942	1757
919	19976	1737
920	20003	1715
921	20026	1694
922	20052	1672
923	20075	1651
924	20100	1629
925	20121	1608
926	20144	1586
927	20169	1564
928	20195	1543
929	20220	1521
930	20247	1500
931	20270	1478
932	20296	1457
933	20321	1436
934	20347	1414
935	20370	1392
936	20394	1371
937	20417	1349
938	20440	1327
939	20462	1306
940	20482	1284
941	20503	1262
942	20523	1240
943	20546	1218
944	20568	1197
945	20590	1175
946	20612	1153
947	20637	1132
948	20661	1110
949	20686	1088
950	20708	1067
951	20730	1045
952	20755	1023
953	20777	1001
954	20799	980
955	20819	958
956	20839	936
957	20859	914
958	20884	892
959	20909	871
960	20938	849
961	20971	828
962	20997	806
963	21023	785
964	21053	763
965	21080	741
966	21106	720
967	21132	698
968	21154	676
969	21175	654
970	21194	633
971	21214	611
972	21234	589
973	21255	567
974	21276	545
975	21303	523
976	21331	502
977	21360	480
978	21384	458
979	21408	436
980	21433	415
981	21465	393
982	21497	371
983	21521	349
984	21543	328
985	21566	306
986	21588	284
987	21609	262
988	21633	240
989	21656	218
990	21682	196
991	21708	175
992	21731	153
993	21753	131
994	21774	109
995	21797	87
996	21817	65
997	21841	43
998	21868	21
999	21898	0
