iter	MultiClass
0	1.062536616
1	1.029588581
2	1.001201009
3	0.9763642751
4	0.9535155905
5	0.9337554364
6	0.9145683557
7	0.896845861
8	0.8807027602
9	0.8661792264
10	0.853094755
11	0.8408582613
12	0.8298113037
13	0.8193307175
14	0.8099756956
15	0.8011822573
16	0.7932615566
17	0.785891817
18	0.7793796885
19	0.7725206845
20	0.7668849656
21	0.7608437141
22	0.7555744627
23	0.7508023299
24	0.7462115684
25	0.741662995
26	0.7378772713
27	0.7336018856
28	0.7297383995
29	0.7265930033
30	0.7231963959
31	0.7200399153
32	0.7173699204
33	0.7145764951
34	0.7119951441
35	0.7093969775
36	0.7071725391
37	0.7048674014
38	0.7029517732
39	0.7012483372
40	0.6994266918
41	0.6976480328
42	0.6961903299
43	0.6947123486
44	0.6931003671
45	0.6915404977
46	0.6901936483
47	0.6892369408
48	0.6878713158
49	0.686316908
50	0.685193808
51	0.6842498205
52	0.6830928613
53	0.6820861574
54	0.6811497966
55	0.680066836
56	0.6790990809
57	0.6783079638
58	0.6775198885
59	0.6767058678
60	0.6760433881
61	0.6756499936
62	0.6747329952
63	0.6740369237
64	0.673223344
65	0.6727200894
66	0.6720278535
67	0.6712387361
68	0.6706048582
69	0.6699910411
70	0.6694015735
71	0.6688459463
72	0.6682182424
73	0.6677026771
74	0.6672695794
75	0.6669456059
76	0.6665254389
77	0.6661634805
78	0.6656891109
79	0.6652507216
80	0.6647834989
81	0.6642668241
82	0.6639336795
83	0.6634507762
84	0.6629359802
85	0.6625344768
86	0.6620576688
87	0.6617527701
88	0.6614428164
89	0.6608828451
90	0.6605572275
91	0.6602511835
92	0.6598853991
93	0.6596955808
94	0.6594684056
95	0.6591667486
96	0.6587125786
97	0.6583569452
98	0.6579400796
99	0.6576314297
100	0.6572628163
101	0.6570818073
102	0.6567496593
103	0.6563532109
104	0.6561919442
105	0.6558603884
106	0.6556037636
107	0.6552616641
108	0.6550414841
109	0.6547698132
110	0.6545215534
111	0.6542747566
112	0.6539719499
113	0.6537390633
114	0.6534962463
115	0.6532026095
116	0.6530258284
117	0.6527238042
118	0.6525041047
119	0.6523412677
120	0.6522150559
121	0.6520520394
122	0.6518759006
123	0.651668364
124	0.6514791191
125	0.6513579563
126	0.651168554
127	0.6509747347
128	0.6508530114
129	0.6506689623
130	0.6504280082
131	0.6502219686
132	0.6501393161
133	0.6500611118
134	0.649846048
135	0.6496752919
136	0.6493003886
137	0.6491493959
138	0.6489513013
139	0.6487163858
140	0.648518886
141	0.6483501194
142	0.6481938979
143	0.6479989648
144	0.6478974308
145	0.647693633
146	0.6473724351
147	0.6471655098
148	0.6469611747
149	0.6468029155
150	0.646557548
151	0.6462464601
152	0.6461013539
153	0.6459219833
154	0.6457892249
155	0.6455873602
156	0.6453920213
157	0.6452028494
158	0.6449951008
159	0.6448018327
160	0.6446383818
161	0.6443906845
162	0.6442239391
163	0.6440982175
164	0.6439821163
165	0.6437449603
166	0.6436119804
167	0.6433607857
168	0.6432196715
169	0.6430558612
170	0.6429077364
171	0.6427699823
172	0.6425668362
173	0.6423165012
174	0.6422042999
175	0.6420244202
176	0.6418545596
177	0.6416963861
178	0.6415339146
179	0.6414400188
180	0.6412441372
181	0.6411429005
182	0.6409818647
183	0.640778895
184	0.6406082928
185	0.6404443885
186	0.6403687026
187	0.6403172656
188	0.6401963034
189	0.6400243516
190	0.6398419754
191	0.6397396659
192	0.6395125885
193	0.6393651747
194	0.6391397106
195	0.6389586106
196	0.6389022734
197	0.6387699327
198	0.638676454
199	0.6385844266
200	0.638426957
201	0.6383704147
202	0.6382220359
203	0.6381059399
204	0.6379898857
205	0.6377362922
206	0.6375337064
207	0.637369463
208	0.6372842342
209	0.6371025463
210	0.6369175145
211	0.6367059747
212	0.6366117619
213	0.6364701841
214	0.6364062455
215	0.6363129027
216	0.6361318074
217	0.6360475176
218	0.6359126727
219	0.6357451099
220	0.6356280941
221	0.6354641865
222	0.6353337421
223	0.635143942
224	0.6350214151
225	0.6348574829
226	0.6347319475
227	0.6346093701
228	0.634402742
229	0.6341992637
230	0.634048094
231	0.6338672303
232	0.6337200708
233	0.6335949692
234	0.6333998393
235	0.6333332678
236	0.6331985997
237	0.6330437009
238	0.632878224
239	0.6327005708
240	0.6325362838
241	0.6323929307
242	0.632205132
243	0.6320705165
244	0.6319503689
245	0.631804593
246	0.6316314792
247	0.6314616501
248	0.6313283953
249	0.6312019075
250	0.631091551
251	0.6309535703
252	0.6307879068
253	0.6307015437
254	0.630565114
255	0.6304731053
256	0.6303087729
257	0.6302000699
258	0.6301345697
259	0.6300103577
260	0.6298413615
261	0.6296936899
262	0.6295696391
263	0.6293829979
264	0.6292573902
265	0.6291147641
266	0.6289090109
267	0.628799942
268	0.6286348127
269	0.6284658002
270	0.6283181672
271	0.628248372
272	0.6281519671
273	0.6280208341
274	0.6278862859
275	0.6277065164
276	0.6275251071
277	0.6273592931
278	0.627210747
279	0.6270623253
280	0.6269553657
281	0.6267705596
282	0.6266272197
283	0.6265318438
284	0.6263809616
285	0.6262062933
286	0.6261426163
287	0.626035209
288	0.6259175497
289	0.625775072
290	0.6256850407
291	0.625598782
292	0.6254812664
293	0.6253209692
294	0.6251891394
295	0.6250980943
296	0.6249523192
297	0.6248068669
298	0.6246566366
299	0.6244675522
300	0.6243238403
301	0.6241958411
302	0.624073404
303	0.6239523403
304	0.6238280166
305	0.6236180948
306	0.6234550389
307	0.6233358135
308	0.6231867984
309	0.6230721292
310	0.6229745868
311	0.6228258388
312	0.6227282758
313	0.6225460305
